,index,time
0,1,21.95
1,2,20.98
2,3,20.84
3,4,20.68
4,5,20.12
5,6,20.6
6,7,20.59
7,8,20.56
8,9,20.5
9,10,20.11
10,11,20.45
11,12,20.33
12,13,20.08
13,14,19.84
14,15,21.48
15,16,21.4
16,17,20.99
17,18,21.0
18,19,21.34
19,20,22.35
20,21,22.65
21,22,21.5
22,23,21.33
23,24,20.17
24,25,19.31
